ticket_id,created_at,title,description,category,subcategory,priority,department,resolution,confidence_score,escalation_required,repeat_issue,automation_candidate,environment,source_channel,affected_service,sla_hours,resolver_group,similar_ticket_hint,kb_article,resolution_steps,sentiment,user_impact
INC-0397,2026-01-17 10:43:00,Mobile app crashing on Invoice Service launch,Data entered in Invoice Service is not propagating to the downstream analytics pipeline causing stale reports.,Application,Performance Degradation,Medium,App Support,"Rolled back auth middleware, cleared stale session cache, redeployed to prod.",0.67,false,false,false,Dev,Portal,Invoice Service,12,App Support,pdf export internal server error,KB-APP-022,1. Reproduce locally; 2. Capture stack trace; 3. Fix template null handling; 4. Redeploy; 5. Validate PDF export,Neutral,Team
INC-0279,2026-01-13 06:02:00,Data not syncing between Invoice Service and backend,The Invoice Service invoice export feature generates a 500 Internal Server Error when PDFs exceed 2 MB.,Application,Document Generation,Medium,App Support,"Fixed broken Kafka consumer group offset, reprocessed missed messages.",0.79,false,true,false,Prod,Portal,Invoice Service,12,App Support,pdf export internal server error,KB-APP-009,1. Run EXPLAIN ANALYZE; 2. Identify missing index; 3. Add index; 4. Rerun query; 5. Monitor dashboard load time,Urgent,Org-wide
INC-0199,2026-01-10 10:23:00,Mobile app crashing on HR Portal launch,Data entered in HR Portal is not propagating to the downstream analytics pipeline causing stale reports.,Application,API Timeout,High,App Support,"Rolled back auth middleware, cleared stale session cache, redeployed to prod.",0.67,false,false,false,Prod,Phone,HR Portal,12,App Support,notification service credentials expired,KB-APP-025,1. Run EXPLAIN ANALYZE; 2. Identify missing index; 3. Add index; 4. Rerun query; 5. Monitor dashboard load time,Neutral,Department
INC-0172,2026-01-09 11:30:00,VM disk usage alert on ESXi Host,Post-maintenance window the ESXi Host failed to boot correctly. Root cause appears to be a failed kernel update.,Infrastructure,Storage I/O Bottleneck,Critical,InfraOps,"Restarted backup agent, cleared stale lock file, confirmed successful backup.",0.91,false,false,false,Prod,Portal,ESXi Host,8,InfraOps,os patch failure vm,KB-INF-041,1. Boot into rescue mode; 2. Identify failed kernel; 3. Rollback with grub; 4. Reboot; 5. Validate services,Urgent,Single User
INC-0055,2026-01-05 07:57:00,CPU spike on Cron Service causing slowdowns,Memory utilization on Cron Service climbing steadily since last deployment. GC pauses increasing response latency.,Infrastructure,Server Storage,Low,InfraOps,"Restarted backup agent, cleared stale lock file, confirmed successful backup.",0.77,false,false,false,Dev,Chat,Cron Service,8,InfraOps,cpu spike kubernetes,KB-INF-005,1. Boot into rescue mode; 2. Identify failed kernel; 3. Rollback with grub; 4. Reboot; 5. Validate services,Neutral,Org-wide
INC-0198,2026-01-10 09:10:00,PDF export failing on Reporting Dashboard,Post deployment users report Reporting Dashboard is throwing authentication errors. Session expires immediately after login.,Application,UI Rendering Issue,Medium,App Support,"Rolled back auth middleware, cleared stale session cache, redeployed to prod.",0.82,false,true,false,Prod,Portal,Reporting Dashboard,12,App Support,mobile app crash ios,KB-APP-041,1. Reproduce locally; 2. Capture stack trace; 3. Fix template null handling; 4. Redeploy; 5. Validate PDF export,Frustrated,Org-wide
INC-0439,2026-01-18 22:31:00,Multiple failed admin login attempts on Admin Console,SSL certificate on Admin Console expired 3 days ago. Users see browser security warning.,Security,Privilege Escalation,Medium,SOC,"Renewed certificate, updated load balancer config, validated HTTPS handshake.",0.81,false,true,false,Cloud,Portal,Admin Console,4,SOC,data exfiltration dlp alert,KB-SEC-047,1. Quarantine emails; 2. Block domain in proxy; 3. Notify affected users; 4. Reset credentials if clicked; 5. Update filter rules,Frustrated,Single User
INC-0415,2026-01-18 02:00:00,Abnormal data transfer volume from VPN Gateway,DLP alert: 4.7 GB transferred from VPN Gateway to personal Dropbox account in off-hours.,Security,Endpoint Threat,High,SOC,"Isolated host, contained spread, restored from clean backup, deployed additional endpoint controls.",0.92,false,false,false,Prod,Portal,VPN Gateway,4,SOC,suspicious powershell encoded command endpoint,KB-SEC-035,1. Quarantine emails; 2. Block domain in proxy; 3. Notify affected users; 4. Reset credentials if clicked; 5. Update filter rules,Urgent,Team
INC-0878,2026-02-03 11:12:00,User locked out of Active Directory after password attempt,Audit finding: developer role on Active Directory includes production data write permission not required for role.,Access Management,Role Provisioning,Critical,IAM Helpdesk,"Removed excess permission, applied principle of least privilege, updated RBAC policy.",0.88,false,true,true,Prod,Chat,Active Directory,24,IAM Helpdesk,account lockout urgent client presentation,KB-IAM-023,1. Verify user identity via manager; 2. Issue MFA bypass; 3. Enroll new device; 4. Revoke old device; 5. Send confirmation,Neutral,Single User
INC-0685,2026-01-27 15:42:00,Packet loss to WiFi Controller affecting users,Internal DNS not resolving hostnames for WiFi Controller. Applications timing out on service discovery.,Network,LAN Packet Loss,High,NOC,"Added missing firewall rule for payment API CIDR, tested end-to-end HTTPS flow.",0.83,false,true,false,VPN,Email,WiFi Controller,12,NOC,erp slow lan packet loss switch port,KB-NET-026,1. Check VPN logs; 2. Test ping with large packet; 3. Adjust MTU to 1400; 4. Update keepalive; 5. Monitor stability,Urgent,Single User
INC-0250,2026-01-12 05:58:00,Slow response time on Reporting Dashboard dashboard,Dashboard on Reporting Dashboard taking over 45 seconds to load for date ranges beyond 90 days.,Application,Configuration Error,Medium,App Support,"Rolled back auth middleware, cleared stale session cache, redeployed to prod.",0.9,false,true,false,Prod,Portal,Reporting Dashboard,12,App Support,mobile app crash ios,KB-APP-002,1. Run EXPLAIN ANALYZE; 2. Identify missing index; 3. Add index; 4. Rerun query; 5. Monitor dashboard load time,Frustrated,Team
INC-0074,2026-01-06 00:18:00,VM disk usage alert on Payroll Server,Automated threshold breach detected on Payroll Server. Disk utilization crossed 92% causing batch job failures.,Infrastructure,Backup Failure,Low,InfraOps,"Cleared old log files, extended volume by 100 GB, restarted failed service.",0.96,false,true,false,Staging,Chat,Payroll Server,8,InfraOps,load balancer down,KB-INF-041,1. SSH to server; 2. Run df -h; 3. Archive logs older than 30 days; 4. Extend LVM volume; 5. Restart service; 6. Verify alert cleared,Frustrated,Department
INC-0834,2026-02-01 22:16:00,Incorrect RBAC role on VPN Access giving excess access,User entered incorrect password 5 times. VPN Access account locked. Urgent as user is presenting to client.,Access Management,Password Reset,Medium,IAM Helpdesk,"Removed excess permission, applied principle of least privilege, updated RBAC policy.",0.88,false,false,false,Cloud,Portal,VPN Access,24,IAM Helpdesk,account lockout urgent client presentation,KB-IAM-039,1. Disable account immediately; 2. Remove all group memberships; 3. Revoke API tokens; 4. Log offboarding action; 5. Notify manager,Neutral,Team
INC-0444,2026-01-19 02:54:00,Phishing email bypassed filter targeting Admin Console users,Behavioural analytics flagged file encryption pattern on endpoint near Admin Console.,Security,Insider Threat,Medium,SOC,"Renewed certificate, updated load balancer config, validated HTTPS handshake.",0.68,false,false,false,Cloud,Chat,Admin Console,4,SOC,privilege escalation sudo,KB-SEC-030,1. Isolate host in EDR; 2. Kill malicious process; 3. Extract IOC; 4. Force password reset; 5. Submit forensics ticket,Neutral,Department
INC-0975,2026-02-06 22:08:00,Account expired but user still active in HRMS,SSO federation between HRMS and identity provider returning SAML assertion mismatch error.,Access Management,Account Lockout,Medium,IAM Helpdesk,"Reset password, unlocked account, enforced new password policy, confirmed user access.",0.64,true,false,false,Cloud,Chat,HRMS,24,IAM Helpdesk,rbac excess permission developer production,KB-IAM-040,1. Disable account immediately; 2. Remove all group memberships; 3. Revoke API tokens; 4. Log offboarding action; 5. Notify manager,Neutral,Department
INC-0903,2026-02-04 08:45:00,MFA device lost for Finance Portal admin,Third party contractor account on Finance Portal remained enabled 5 days after offboarding date passed.,Access Management,Privileged Account Request,High,IAM Helpdesk,"Verified identity via manager approval, issued temporary bypass code, enrolled new MFA device.",0.97,false,false,false,Prod,Chat,Finance Portal,24,IAM Helpdesk,account lockout urgent client presentation,KB-IAM-036,1. Disable account immediately; 2. Remove all group memberships; 3. Revoke API tokens; 4. Log offboarding action; 5. Notify manager,Frustrated,Single User
INC-0625,2026-01-25 12:33:00,Deadlock detected on MongoDB Cluster transaction,MongoDB Cluster tablespace is 98% full. Insert operations failing. Application throwing database write errors.,Database,Connection Pool Exhausted,High,DBA,"Identified conflicting lock order, applied row-level locking with timeout, retried failed transactions.",0.81,false,false,false,Staging,Portal,MongoDB Cluster,8,DBA,slow query dashboard timeout postgres,KB-DB-016,1. Check replication lag; 2. Identify blocking query; 3. Kill blocker; 4. Restart replica agent; 5. Monitor lag trend,Frustrated,Single User
INC-0986,2026-02-07 07:39:00,Account expired but user still active in Finance Portal,Admin lost access to MFA device for Finance Portal. Unable to complete authentication challenge.,Access Management,Account Lockout,Medium,IAM Helpdesk,"Removed excess permission, applied principle of least privilege, updated RBAC policy.",0.79,false,false,false,Cloud,Chat,Finance Portal,24,IAM Helpdesk,saml sso assertion mismatch,KB-IAM-006,1. Verify identity in HR system; 2. Assign role in IAM; 3. Sync group memberships; 4. Test login; 5. Notify user,Urgent,Department
INC-0343,2026-01-15 13:00:00,Mobile App returning 500 error on submit,Mobile app for Mobile App crashes on launch for iOS 17 users after the v2.1.4 release.,Application,Document Generation,Medium,App Support,"Added missing composite index on report query, reduced response time from 45s to 1.2s.",0.77,false,false,false,Dev,Portal,Mobile App,12,App Support,login session expired after release,KB-APP-031,1. Run EXPLAIN ANALYZE; 2. Identify missing index; 3. Add index; 4. Rerun query; 5. Monitor dashboard load time,Neutral,Org-wide
INC-0742,2026-01-29 16:03:00,Firewall blocking legitimate traffic to ISP Link,ISP ISP Link reporting BGP session resets causing intermittent route withdrawals.,Network,Bandwidth Saturation,Low,NOC,"Added missing firewall rule for payment API CIDR, tested end-to-end HTTPS flow.",0.78,false,false,false,VPN,Phone,ISP Link,12,NOC,dns resolution failure internal hostname,KB-NET-047,1. Check VPN logs; 2. Test ping with large packet; 3. Adjust MTU to 1400; 4. Update keepalive; 5. Monitor stability,Frustrated,Team
INC-0840,2026-02-02 03:34:00,Incorrect RBAC role on Cloud Console giving excess access,Audit finding: developer role on Cloud Console includes production data write permission not required for role.,Access Management,Account Lockout,Medium,IAM Helpdesk,"Removed excess permission, applied principle of least privilege, updated RBAC policy.",0.71,false,false,false,Cloud,Chat,Cloud Console,24,IAM Helpdesk,mfa device lost admin locked,KB-IAM-050,1. Disable account immediately; 2. Remove all group memberships; 3. Revoke API tokens; 4. Log offboarding action; 5. Notify manager,Urgent,Team
INC-0856,2026-02-02 17:06:00,Incorrect RBAC role on Finance Portal giving excess access,Project lead requesting temporary admin access to Finance Portal for quarterly audit activity.,Access Management,Password Reset,High,IAM Helpdesk,"Created time-limited privileged access with audit logging enabled, notified CISO.",0.88,false,true,true,Cloud,Portal,Finance Portal,24,IAM Helpdesk,saml sso assertion mismatch,KB-IAM-015,1. Disable account immediately; 2. Remove all group memberships; 3. Revoke API tokens; 4. Log offboarding action; 5. Notify manager,Frustrated,Single User
INC-0329,2026-01-15 01:06:00,Users unable to login to Mobile App after patch,Mobile app for Mobile App crashes on launch for iOS 17 users after the v2.1.4 release.,Application,Performance Degradation,High,App Support,"Rolled back auth middleware, cleared stale session cache, redeployed to prod.",0.84,false,true,false,Dev,Portal,Mobile App,12,App Support,notification service credentials expired,KB-APP-050,1. Check app logs; 2. Identify error trace; 3. Rollback middleware; 4. Clear cache; 5. Smoke test login,Neutral,Department
INC-0192,2026-01-10 04:30:00,CRM Portal returning 500 error on submit,Dashboard on CRM Portal taking over 45 seconds to load for date ranges beyond 90 days.,Application,Authentication Bug,Low,App Support,"Added missing composite index on report query, reduced response time from 45s to 1.2s.",0.96,false,false,false,Dev,Email,CRM Portal,12,App Support,slow dashboard query timeout,KB-APP-009,1. Reproduce locally; 2. Capture stack trace; 3. Fix template null handling; 4. Redeploy; 5. Validate PDF export,Neutral,Department
INC-0108,2026-01-07 05:10:00,Backup job not completing on NFS Storage,Automated threshold breach detected on NFS Storage. Disk utilization crossed 92% causing batch job failures.,Infrastructure,OS Patch Failure,Low,InfraOps,"Identified noisy workload, tuned resource limits, rebalanced pods across nodes.",0.77,false,false,false,Staging,Phone,NFS Storage,8,InfraOps,backup agent not running,KB-INF-033,1. SSH to server; 2. Run df -h; 3. Archive logs older than 30 days; 4. Extend LVM volume; 5. Restart service; 6. Verify alert cleared,Urgent,Org-wide
INC-0466,2026-01-19 20:57:00,Abnormal data transfer volume from Admin Console,SIEM rule triggered on Admin Console: 47 failed logins in 5 minutes from IPs in Eastern Europe.,Security,Certificate Expired,High,SOC,"Revoked elevated session, reviewed sudo logs, patched sudoers config.",0.94,false,true,false,Cloud,Chat,Admin Console,4,SOC,phishing email credential harvesting,KB-SEC-002,1. Quarantine emails; 2. Block domain in proxy; 3. Notify affected users; 4. Reset credentials if clicked; 5. Update filter rules,Urgent,Org-wide
INC-0984,2026-02-07 05:15:00,User locked out of SSO Provider after password attempt,Third party contractor account on SSO Provider remained enabled 5 days after offboarding date passed.,Access Management,Deprovisioning,Medium,IAM Helpdesk,"Assigned HRMS employee role, synced group membership, confirmed login successful.",0.63,true,true,true,Prod,Portal,SSO Provider,24,IAM Helpdesk,mfa device lost admin locked,KB-IAM-040,1. Verify user identity via manager; 2. Issue MFA bypass; 3. Enroll new device; 4. Revoke old device; 5. Send confirmation,Urgent,Team
INC-0582,2026-01-23 23:41:00,Replication lag on Analytics Warehouse reporting replica,Deadlock detected between order processing and inventory update transactions on Analytics Warehouse. Orders failing sporadically.,Database,Query Performance,Medium,DBA,"Extended tablespace by 200 GB, archived historical records, updated autogrow policy.",0.88,false,false,false,Staging,Portal,Analytics Warehouse,8,DBA,replica lag stale reporting data,KB-DB-021,1. Query pg_locks; 2. Identify conflicting PIDs; 3. Terminate deadlock; 4. Adjust locking strategy; 5. Test transaction flow,Neutral,Department
INC-0964,2026-02-06 12:55:00,Incorrect RBAC role on Cloud Console giving excess access,Project lead requesting temporary admin access to Cloud Console for quarterly audit activity.,Access Management,Password Reset,High,IAM Helpdesk,"Disabled account, revoked active sessions, documented in offboarding audit trail.",0.89,false,true,true,Prod,Email,Cloud Console,24,IAM Helpdesk,new joiner hrms access missing provisioning,KB-IAM-032,1. Verify user identity via manager; 2. Issue MFA bypass; 3. Enroll new device; 4. Revoke old device; 5. Send confirmation,Neutral,Team
INC-0118,2026-01-07 13:09:00,Cron job not executing on CI/CD Pipeline,Automated threshold breach detected on CI/CD Pipeline. Disk utilization crossed 92% causing batch job failures.,Infrastructure,Backup Failure,Low,InfraOps,"Restarted backup agent, cleared stale lock file, confirmed successful backup.",0.64,true,false,false,Dev,Email,CI/CD Pipeline,8,InfraOps,load balancer down,KB-INF-031,1. Identify high-CPU pod; 2. Review resource requests/limits; 3. Tune HPA thresholds; 4. Drain node; 5. Rebalance workloads,Neutral,Single User
INC-0348,2026-01-15 16:55:00,Users unable to login to ERP System after patch,Post deployment users report ERP System is throwing authentication errors. Session expires immediately after login.,Application,Performance Degradation,Low,App Support,"Rotated notification service API keys, updated secrets vault, restarted worker.",0.7,false,false,false,Staging,Phone,ERP System,12,App Support,slow dashboard query timeout,KB-APP-022,1. Run EXPLAIN ANALYZE; 2. Identify missing index; 3. Add index; 4. Rerun query; 5. Monitor dashboard load time,Urgent,Department
INC-0467,2026-01-19 22:26:00,Ransomware indicator detected near File Server,DLP alert: 4.7 GB transferred from File Server to personal Dropbox account in off-hours.,Security,Insider Threat,Low,SOC,"Disabled user account, retrieved transfer logs, initiated DLP policy review.",0.61,true,false,false,Endpoint,Email,File Server,4,SOC,ssl certificate expired,KB-SEC-029,1. Isolate host in EDR; 2. Kill malicious process; 3. Extract IOC; 4. Force password reset; 5. Submit forensics ticket,Frustrated,Org-wide
INC-0007,2026-01-03 14:48:00,Load balancer health check failing for Cron Service,Memory utilization on Cron Service climbing steadily since last deployment. GC pauses increasing response latency.,Infrastructure,Compute Performance,High,InfraOps,"Identified memory leak in app v2.3.1, patched and redeployed service.",0.96,false,false,false,Prod,Email,Cron Service,8,InfraOps,memory leak service,KB-INF-017,1. Identify high-CPU pod; 2. Review resource requests/limits; 3. Tune HPA thresholds; 4. Drain node; 5. Rebalance workloads,Urgent,Team
INC-0431,2026-01-18 15:35:00,Multiple failed admin login attempts on Finance Laptop,Phishing email with spoofed CFO sender reached 12 mailboxes. Malicious link to credential harvesting page.,Security,Privilege Escalation,Low,SOC,"Renewed certificate, updated load balancer config, validated HTTPS handshake.",0.65,false,false,false,Cloud,Chat,Finance Laptop,4,SOC,ssl certificate expired,KB-SEC-039,1. Block source IPs in firewall; 2. Enable conditional access; 3. Force MFA; 4. Notify account owner; 5. Review auth logs,Urgent,Team
INC-0967,2026-02-06 15:09:00,Account expired but user still active in Active Directory,User onboarding completed but Active Directory access role was not provisioned in the identity system.,Access Management,Deprovisioning,Critical,IAM Helpdesk,"Updated SAML attribute mapping, refreshed metadata, tested SP-initiated SSO flow.",0.7,true,false,false,Prod,Chat,Active Directory,24,IAM Helpdesk,new joiner hrms access missing provisioning,KB-IAM-011,1. Verify user identity via manager; 2. Issue MFA bypass; 3. Enroll new device; 4. Revoke old device; 5. Send confirmation,Urgent,Org-wide
INC-0750,2026-01-29 22:49:00,Firewall blocking legitimate traffic to Distribution Switch,Internet uplink to Distribution Switch saturated at 98% during business hours. Streaming and backups competing.,Network,LAN Packet Loss,Medium,NOC,"Added missing firewall rule for payment API CIDR, tested end-to-end HTTPS flow.",0.65,false,false,false,VPN,Email,Distribution Switch,12,NOC,dns resolution failure internal hostname,KB-NET-002,1. Check VPN logs; 2. Test ping with large packet; 3. Adjust MTU to 1400; 4. Update keepalive; 5. Monitor stability,Urgent,Team
INC-0637,2026-01-25 22:25:00,Index corruption detected on Analytics Warehouse,Deadlock detected between order processing and inventory update transactions on Analytics Warehouse. Orders failing sporadically.,Database,Index Corruption,Medium,DBA,"Fixed constraint by backfilling null values, reran migration, validated schema integrity.",0.58,true,true,false,Staging,Chat,Analytics Warehouse,8,DBA,tablespace full disk,KB-DB-027,1. Run EXPLAIN ANALYZE; 2. Identify sequential scan; 3. CREATE INDEX CONCURRENTLY; 4. Re-run query; 5. Monitor execution plan,Urgent,Single User
INC-0937,2026-02-05 13:40:00,Account expired but user still active in SSO Provider,User onboarding completed but SSO Provider access role was not provisioned in the identity system.,Access Management,Deprovisioning,Medium,IAM Helpdesk,"Assigned HRMS employee role, synced group membership, confirmed login successful.",0.94,false,true,true,Prod,Chat,SSO Provider,24,IAM Helpdesk,contractor account active after offboarding,KB-IAM-014,1. Disable account immediately; 2. Remove all group memberships; 3. Revoke API tokens; 4. Log offboarding action; 5. Notify manager,Frustrated,Team
INC-0726,2026-01-29 02:07:00,BGP route flapping causing Core Firewall instability,Post-change window the Core Firewall is blocking port 443 traffic from app servers to payment API.,Network,Bandwidth Saturation,Low,NOC,"Reset BGP session with ISP, filtered flapping prefixes, confirmed stable routing table.",0.9,false,false,false,Prod,Portal,Core Firewall,12,NOC,dhcp lease exhaustion subnet,KB-NET-008,1. nslookup internal host; 2. Check DNS service status; 3. Restart resolver; 4. Flush client cache; 5. Validate resolution,Neutral,Org-wide
INC-0502,2026-01-21 03:34:00,Unusual access pattern from File Server account,EDR flagged encoded PowerShell execution on File Server. Process spawned from user context. Possible malware dropper.,Security,Privilege Escalation,Medium,SOC,"Isolated host, contained spread, restored from clean backup, deployed additional endpoint controls.",0.94,false,true,false,Endpoint,Portal,File Server,4,SOC,admin brute force foreign ips,KB-SEC-024,1. Isolate host in EDR; 2. Kill malicious process; 3. Extract IOC; 4. Force password reset; 5. Submit forensics ticket,Frustrated,Department
INC-0484,2026-01-20 12:23:00,Unauthorized privilege escalation attempt on Cloud IAM,EDR flagged encoded PowerShell execution on Cloud IAM. Process spawned from user context. Possible malware dropper.,Security,Privilege Escalation,Medium,SOC,"Isolated host, contained spread, restored from clean backup, deployed additional endpoint controls.",0.62,true,false,false,Cloud,Chat,Cloud IAM,4,SOC,phishing email credential harvesting,KB-SEC-016,1. Isolate host in EDR; 2. Kill malicious process; 3. Extract IOC; 4. Force password reset; 5. Submit forensics ticket,Frustrated,Org-wide
INC-0891,2026-02-03 22:32:00,Account expired but user still active in SSO Provider,User account on SSO Provider should have been deactivated upon contract end date 2 weeks ago.,Access Management,RBAC Misconfiguration,Low,IAM Helpdesk,"Disabled account, revoked active sessions, documented in offboarding audit trail.",0.96,false,true,false,Prod,Chat,SSO Provider,24,IAM Helpdesk,mfa device lost admin locked,KB-IAM-048,1. Verify identity in HR system; 2. Assign role in IAM; 3. Sync group memberships; 4. Test login; 5. Notify user,Frustrated,Team
INC-0894,2026-02-04 01:15:00,Account expired but user still active in VPN Access,SSO federation between VPN Access and identity provider returning SAML assertion mismatch error.,Access Management,Privileged Account Request,High,IAM Helpdesk,"Removed excess permission, applied principle of least privilege, updated RBAC policy.",0.83,false,false,false,Prod,Phone,VPN Access,24,IAM Helpdesk,account lockout urgent client presentation,KB-IAM-038,1. Verify identity in HR system; 2. Assign role in IAM; 3. Sync group memberships; 4. Test login; 5. Notify user,Urgent,Single User
INC-0077,2026-01-06 03:00:00,Hypervisor unresponsive for Payroll Server,The Payroll Server is experiencing critical resource exhaustion. Monitoring alerts fired at 06:31. Users reported partial functionality loss.,Infrastructure,VM Provisioning,Medium,InfraOps,"Identified noisy workload, tuned resource limits, rebalanced pods across nodes.",0.86,false,true,false,Prod,Email,Payroll Server,8,InfraOps,backup agent not running,KB-INF-035,1. SSH to server; 2. Run df -h; 3. Archive logs older than 30 days; 4. Extend LVM volume; 5. Restart service; 6. Verify alert cleared,Frustrated,Department
INC-0950,2026-02-06 00:46:00,MFA device lost for SSO Provider admin,Project lead requesting temporary admin access to SSO Provider for quarterly audit activity.,Access Management,MFA Issue,High,IAM Helpdesk,"Created time-limited privileged access with audit logging enabled, notified CISO.",0.97,false,true,false,Prod,Email,SSO Provider,24,IAM Helpdesk,rbac excess permission developer production,KB-IAM-002,1. Verify user identity via manager; 2. Issue MFA bypass; 3. Enroll new device; 4. Revoke old device; 5. Send confirmation,Neutral,Department
INC-0756,2026-01-30 03:53:00,DNS resolution failure impacting Branch VPN,Users in head office see intermittent slowness accessing Branch VPN. Ping tests show 18% packet loss.,Network,DNS Resolution Failure,Critical,NOC,"Replaced faulty switch port, reset interface error counters, confirmed packet loss resolved.",0.99,false,true,true,Prod,Phone,Branch VPN,12,NOC,vpn disconnect every 10 minutes branch office,KB-NET-008,1. Run continuous ping; 2. Check switch interface counters; 3. Move cable to spare port; 4. Retest; 5. Replace module if needed,Urgent,Team
